ID;MARCA;MODELO
1;ACURA;INTEGRA
2;ACURA;LEGEND
3;ACURA;NSX
4;AGRALE;MARRUA
5;ALFA ROMEO;145
6;ALFA ROMEO;147
7;ALFA ROMEO;155
8;ALFA ROMEO;156
9;ALFA ROMEO;164
10;ALFA ROMEO;166
11;ALFA ROMEO;2300
12;ALFA ROMEO;SPIDER
13;AM GEN;HUMMER
14;KIA;AM-825
15;KIA;HI-TOPIC
16;KIA;ROCSTA
17;KIA;TOPIC
18;KIA;TOWNER
19;AUDI;100
20;AUDI;80
21;AUDI;A1
22;AUDI;A3
23;AUDI;A4 SEDAN
24;AUDI;A5 COUPE
25;AUDI;A6 SEDAN
26;AUDI;A7
27;AUDI;A8
30;AUDI;Q3
31;AUDI;Q5
32;AUDI;Q7
33;AUDI;R8
34;AUDI;RS3
35;AUDI;RS4
36;AUDI;RS5
37;AUDI;RS6
38;AUDI;S3
39;AUDI;S4 SEDAN
40;AUDI;S6 SEDAN
41;AUDI;S8
42;AUDI;TT
43;AUDI;TTS
86;BUGGY;BUGGY
87;CADILLAC;DEVILLE
88;CADILLAC;ELDORADO
89;CADILLAC;SEVILLE
90;CBT;JAVALI
92;CHANA;MINI STAR FAMILY
93;CHANA;MINI STAR UTILITY
95;CHERY;CIELO
96;CHERY;FACE
97;CHERY;QQ
98;CHERY;S-18
99;CHERY;TIGGO
100;CHRYSLER;300C
101;CHRYSLER;CARAVAN
102;CHRYSLER;CIRRUS
103;CHRYSLER;GRAN CARAVAN
104;CHRYSLER;LE BARON
105;CHRYSLER;NEON
106;CHRYSLER;PT CRUISER
107;CHRYSLER;SEBRING
108;CHRYSLER;STRATUS
109;CHRYSLER;TOWN E COUNTRY
110;CHRYSLER;VISION
111;CITROEN;AIRCROSS
112;CITROEN;AX
113;CITROEN;BERLINGO
114;CITROEN;BX
115;CITROEN;C3
116;CITROEN;C4
117;CITROEN;C5
118;CITROEN;C6
119;CITROEN;C8
120;CITROEN;DS3
